Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
2,51.3006,-77.077,61,25.4,0.61,0.61,14.34,M1_25,2.765,1.013,1.013,11.8505,840,26.54
2,51.4963,-77.1375,62,25.2,0.595,0.595,14.87,M1_25,2.884,1.044,1.044,10.6491,903,26.54
2,51.4869,-77.1359,63,25.2,0.595,0.595,14.87,M1_25,2.884,1.044,1.044,10.6491,903,26.54
2,51.5,-77.1448,64,25.2,0.595,0.595,14.87,M1_25,2.884,1.044,1.044,10.6491,903,26.54
2,51.1891,-77.2633,65,25.5,0.599,0.599,15.76,C1,0.881,1.397,1.397,1.397,369,26.54
2,51.1871,-77.255,66,25.5,0.599,0.599,15.76,C1,0.881,1.397,1.397,1.397,369,26.54
2,51.1858,-77.2166,67,25.4,0.606,0.606,15.4,C1,0.831,1.395,1.395,1.395,348,26.54
2,50.8198,-78.4856,68,26.1,0.557,0.557,17.12,C3,1.814,1.457,1.457,4.40019,793,18.76
2,50.8076,-78.5287,69,26.1,0.557,0.557,16.48,C2,7.014,2.203,2.60136,4.33545,5474,18.76
2,50.7951,-78.5724,70,26.2,0.566,0.566,16.52,C2,7.214,2.204,2.51222,4.32213,5437,18.76
2,50.8338,-78.4961,71,26.1,0.557,0.557,17.12,C3,1.814,1.457,1.457,4.40019,793,18.76
2,31.0935,-93.0214,72,38.6,0.234,0.234,29.5,C6,3.68565,1.5211,1.59626,6.93304,1765,27.89
2,31.091,-93.0541,73,38.4,0.242,0.242,29.5,C6,3.68565,1.22691,1.23653,6.93304,1367,27.89
2,30.2614,-93.2663,74,37,0.123,0.123,29.5,C6,3.68565,0.838,0.838918,6.93304,928,27.89
2,38.8691,-82.3273,75,26.8,0.383,0.383,2.2,C6,0.0228289,0.102723,0.102723,2.83143,1,27.89
2,31.0838,-93.0133,76,38.6,0.234,0.234,29.5,C6,3.68565,1.07892,1.1414,6.93304,1262,27.89
2,31.0756,-93.0493,77,38.4,0.242,0.242,29.5,C6,3.68565,1.10311,1.22061,6.93304,1350,27.89
2,38.8049,-81.9359,78,27.1,0.429,0.429,6,C6,0.297376,0.0776624,0.0776624,1.82171,7,27.89
2,31.0991,-93.0182,79,38.6,0.234,0.234,29.5,C3,3.58432,1.47674,1.47674,6.93304,1588,27.89
2,30.2589,-93.3122,80,37,0.123,0.123,29.5,C5,1.20125,0.733099,0.733099,6.93304,264,25.01
2,30.2525,-93.3051,81,37,0.123,0.123,29.5,C5,1.20125,0.858217,0.858217,6.93304,309,25.01
2,31.0852,-93.0574,82,38.4,0.242,0.242,29.5,O1b,2.16216,2.01889,2.01889,2.01889,1310,27.89
2,30.268,-93.2735,83,37,0.123,0.123,29.5,O1b,2.16216,1.05424,1.05424,1.05424,684,25.01
