Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
1,64.738,-125.713,744,26.4,26.5,0.237,21.47,D2,1.129,1.282,1.282,6.9296,434,8.54
1,64.7502,-125.7,745,27.4,27.5,0.215,21.47,D2,1.129,1.282,1.282,6.9296,434,8.54
1,64.7466,-125.721,746,27.4,27.5,0.215,21.47,D2,1.129,1.282,1.282,6.9296,434,8.54
1,64.7587,-125.709,747,27.4,27.5,0.215,21.47,D2,1.129,1.282,1.282,6.9296,434,8.54
1,65.0487,-125.383,748,27.4,28.1,0.131,23.91,D1,1.335,1.312,1.312,6.64466,525,8.54
1,65.0168,-125.568,749,27.1,27.1,0.218,23.5,D1,1.311,1.306,1.306,6.648,514,8.54
1,65.0324,-125.535,750,27.3,27.3,0.216,23.72,D1,1.335,1.309,1.309,6.62143,524,8.54
1,65.048,-125.502,751,27.1,27.8,0.131,23.75,D1,1.323,1.31,1.31,6.62933,520,8.54
1,65.0409,-125.543,752,27.3,27.3,0.216,23.72,D1,1.335,1.309,1.309,6.62143,524,8.54
1,64.7708,-125.696,753,27.4,27.5,0.215,22.43,D1,1.196,1.295,1.295,6.80443,465,8.54
1,66.3936,-119.302,754,20.1,24.5,0.183,29.87,D2,2.066,1.333,1.333,7.40819,826,8.54
1,66.3909,-119.325,755,20.1,24.5,0.183,29.87,D2,2.066,1.333,1.333,7.40819,826,8.54
1,66.3835,-119.525,756,20.1,25.2,0.176,29.89,D2,2.037,1.336,1.336,7.28325,816,8.54
1,66.3807,-119.548,757,20.1,25,0.181,29.77,D2,2.014,1.336,1.336,7.33811,807,8.54
1,66.0963,-121.768,758,18.9,21.5,0.095,23.33,D2,1.429,1.278,1.278,7.33961,548,8.54
1,66.0934,-121.789,759,18.9,21.5,0.095,23.56,D2,1.467,1.281,1.281,7.29277,564,8.54
1,66.0459,-121.649,760,18.1,20.5,0.046,26.34,D1,1.603,1.313,1.313,6.80327,631,8.54
1,66.3511,-119.495,761,20.1,25.2,0.176,30.5,D1,2.125,1.341,1.341,7.26433,855,8.54
1,65.6563,-127.667,762,28.4,27.9,0.087,20.35,D2,1.067,1.263,1.263,6.99928,404,8.54
0,65.6849,-127.567,763,28,27.8,0.086,19.68,D2,1.02,1.252,1.252,7.11139,383,8.54
1,66.8553,-129.678,764,27.8,28.5,0.211,19.12,D2,0.683,1.4,1.4,1.55045,287,8.54
1,67.5862,-130.519,765,28.1,26.8,0.136,17.25,D1,0.553,1.411,1.411,1.411,234,8.54
1,67.7129,-129.88,766,27.9,26.7,0.126,18.38,D1,0.64,1.393,1.393,2.17712,267,8.54
1,67.7213,-129.891,767,27.9,26.7,0.126,18.24,D1,0.661,1.382,1.382,2.60634,274,8.54
0,67.6651,-130.191,768,27.9,27,0.124,17.68,D1,0.57,1.405,1.405,1.51954,240,8.54
0,67.6779,-130.179,769,27.9,27,0.124,16.86,D1,0.54,1.387,1.387,2.15013,225,8.54
1,67.6647,-130.249,770,27.9,27,0.124,17.35,D1,0.566,1.4,1.4,1.66686,238,8.54
0,67.7161,-130.142,771,27.8,26.9,0.121,16.86,D1,0.556,1.371,1.371,2.76451,229,8.54
0,67.7118,-130.165,772,27.9,27,0.124,16.86,D1,0.556,1.371,1.371,2.76451,229,8.54
0,67.7074,-130.189,773,27.9,27,0.124,16.72,D1,0.54,1.38,1.38,2.41858,224,8.54
0,67.7031,-130.212,774,27.9,27,0.124,16.72,D1,0.54,1.38,1.38,2.41858,224,8.54
1,67.7971,-129.761,775,28,27.2,0.127,17.88,D1,0.669,1.355,1.355,3.44414,272,8.54
1,67.7929,-129.784,776,28,27.2,0.127,17.88,D1,0.669,1.355,1.355,3.44414,272,8.54
1,67.183,-132.865,777,30.9,28,0.153,19.55,D1,0.911,1.291,1.291,4.28042,353,8.54
1,67.8012,-129.795,778,28,27.2,0.127,17.88,D1,0.669,1.355,1.355,3.44414,272,8.54
1,67.1863,-132.904,779,30.9,28,0.153,19.55,D1,0.911,1.291,1.291,4.28042,353,8.54
0,67.7369,-130.199,780,27.9,27,0.124,16.99,D1,0.584,1.36,1.36,3.05437,238,8.54
0,67.7326,-130.222,781,27.9,27,0.124,17.18,D1,0.583,1.364,1.364,2.94416,239,8.54
1,67.8053,-129.886,782,27.9,26,0.14,17.82,D1,0.743,1.351,1.351,3.54725,301,8.54
1,67.801,-129.909,783,27.9,26,0.14,17.82,D1,0.743,1.351,1.351,3.54725,301,8.54
1,67.7968,-129.932,784,27.9,26,0.14,17.66,D1,0.666,1.352,1.352,3.48531,270,8.54
1,64.1175,-141.681,785,23.4,22.8,0.336,32.4,D1,0.615903,1.22348,1.22348,1.5053,226,8.47
1,64.2766,-144.95,786,20.5,20.7,0.282,22.1,M2_50,2.92264,2.68421,2.68421,0.448221,2353,8.47
1,65.5328,-137.031,787,27.6,33.8,0.049,20.59,O1a,0,0,0,6.42579,0,18.04
1,65.4185,-136.897,788,27.5,34.2,0.046,22.42,O1a,0,0,0,6.41012,0,18.04
1,65.4092,-136.932,789,27.5,34.2,0.046,23.27,O1a,0.023,0.35,0.35,0.35,2,18.04
1,65.9693,-135.535,790,28.1,26.9,0.064,15.04,D1,0.585,1.168,1.168,5.70492,205,18.04
0,65.805,-136.141,791,28.6,26.1,0.098,20.27,D1,1.191,1.246,1.246,5.91205,445,18.04
0,65.8126,-136.111,792,28.6,26.1,0.098,22.09,D1,1.253,1.279,1.279,5.5605,481,18.04
0,67.741,-130.233,793,27.9,27,0.124,17.18,D1,0.583,1.364,1.364,2.94416,239,8.54
1,67.7366,-130.256,794,28,27.2,0.125,17.18,D1,0.583,1.364,1.364,2.94416,239,8.54
1,67.7455,-130.245,795,27.7,25,0.162,17.15,D1,0.608,1.358,1.358,3.14708,248,8.54
1,68.0398,-132.259,796,28.8,29,0.111,14.98,D1,0.75,1.141,1.141,4.94507,257,8.54
1,68.0483,-132.272,797,28.5,27.6,0.126,14.89,D1,0.734,1.137,1.137,4.95284,250,8.54
1,68.0433,-132.296,798,28.8,29,0.111,14.89,D1,0.734,1.137,1.137,4.95284,250,8.54
1,68.1899,-132.426,799,28.2,27.3,0.125,14.62,D1,0.733,1.119,1.119,4.96073,246,8.54
0,64.4237,-118.871,800,19.9,21,0.467,25.29,D1,1.587,1.29,1.29,7.46597,614,8.54
0,64.4324,-118.877,801,19.9,21,0.467,24.99,D1,1.56,1.286,1.286,7.51253,602,8.54
0,64.4386,-118.903,802,19.9,21,0.467,24.99,D1,1.56,1.286,1.286,7.51253,602,8.54
1,64.4369,-118.992,803,19.9,21.3,0.436,25.19,D1,1.568,1.29,1.29,7.43622,607,8.54
1,64.4457,-118.998,804,20.1,21.2,0.415,25.19,D1,1.568,1.29,1.29,7.43622,607,8.54
1,64.4544,-119.004,805,20.1,21.2,0.415,25.17,D1,1.569,1.29,1.29,7.45864,607,8.54
1,64.4518,-119.025,806,20.1,21.2,0.415,25.34,D1,1.584,1.292,1.292,7.44026,614,8.54
1,64.1634,-121.547,807,22.9,23.5,0.435,19.71,D1,1.345,1.121,1.121,9.79631,452,8.54
1,64.1606,-121.566,808,22.9,23.5,0.435,19.61,D1,1.341,1.118,1.118,9.81856,450,8.54
1,64.1577,-121.586,809,22.9,23.5,0.435,19.61,D1,1.341,1.118,1.118,9.81856,450,8.54
1,64.5206,-119.511,810,19.9,21.2,0.404,25.24,D1,1.537,1.301,1.301,7.60177,600,8.54
0,64.3925,-120.811,811,21.6,22.3,0.508,23.85,D1,1.339,1.305,1.305,7.83539,524,8.54
1,64.5875,-119.722,812,19.9,21.8,0.275,24.13,D1,1.454,1.299,1.299,7.68524,567,8.54
1,64.5962,-119.728,813,19.9,21.8,0.275,24.13,D1,1.454,1.299,1.299,7.68524,567,8.54
1,64.9152,-119.819,814,20.6,21.9,0.291,24.26,D1,1.428,1.3,1.3,7.86272,557,8.54
1,64.0753,-125.589,815,24.2,23.8,0.186,12.22,D1,0.716,0.923,0.923,10.0331,198,8.54
1,64.1084,-125.573,816,24.2,23.8,0.186,13.3,D1,1.091,0.971,0.971,9.93281,318,8.54
1,64.0951,-125.704,817,24.5,23.4,0.184,15.01,D1,0.967,1.03,1.03,9.6391,299,8.54
1,64.0914,-125.725,818,24.5,23.4,0.184,14.13,D1,0.737,1,1,9.76468,221,8.54
1,66.0238,-137.617,819,28.5,27,0.093,21.84,C2,7.286,3.476,3.476,7.1211,7598,18.04
1,65.989,-137.555,820,28.5,27,0.093,21.5,C2,7.045,3.44,4.08437,7.11397,8632,18.04
0,65.8709,-137.168,821,29.4,27,0.093,20.45,C2,6.569,3.329,4.13769,6.95219,8154,18.04
0,65.8749,-137.169,822,29.4,27,0.093,20.45,C2,6.569,3.329,4.08586,6.95219,8052,18.04
0,65.8646,-137.155,823,29.4,27,0.093,20.45,C2,6.569,3.329,3.42212,6.95219,6744,18.04
1,65.7057,-135.054,824,31,30,0.057,23.5,C2,7.697,3.624,3.78128,7.40461,8731,15.35
1,67.2648,-132.424,825,31,30.4,0.114,19.06,C2,5.136,3.616,4.13068,6.60713,6365,8.54
0,65.8852,-137.379,826,29.2,26.9,0.099,19.98,C2,6.37,3.286,4.07392,6.89998,7785,18.04
0,65.9029,-137.312,827,29.3,27,0.095,19.56,C2,6.843,3.269,3.89619,6.90969,7998,18.04
1,67.215,-131.901,828,29.6,26.9,0.152,18.14,C2,4.227,3.815,4.2083,6.91148,5337,8.54
0,64.313,-114.743,829,19.1,19.5,0.189,29.42,C2,11.06,3.776,4.5632,9.52062,15141,5.87
0,64.3154,-114.718,830,19.1,19.5,0.189,29.27,C2,10.976,3.767,4.5542,9.4427,14996,5.87
0,63.4902,-135.836,831,24.4,26.1,0.153,16.66,C2,4.216,3.182,3.26029,5.31634,4124,8.65
1,65.5261,-126.636,832,26,25.5,0.143,17.36,C2,5.428,3.24,3.97449,7.68361,6472,8.54
1,66.9662,-128.94,833,27,27.3,0.275,19.81,C2,5.085,3.909,3.909,6.79086,5963,8.54
1,65.9662,-137.375,834,28.9,30,0.054,20.67,C2,6.247,3.376,3.88186,6.96101,7275,18.04
0,64.4604,-115.226,835,19.5,20,0.175,26.2,C2,9.824,3.498,4.22045,9.7161,12439,5.87
1,67.1771,-131.748,836,28.9,25.8,0.174,17.96,C2,4.221,3.893,4.34018,6.86125,5496,8.54
1,67.214,-131.892,837,29.6,26.9,0.152,18.14,C2,4.227,3.815,4.27681,6.91148,5423,8.54
1,65.9846,-137.552,838,28.5,27,0.093,20.83,C2,0,0,0,7.15599,0,18.04
1,65.979,-137.539,839,28.5,28.5,0.075,20.83,C2,0,0,0,7.15599,0,18.04
0,63.4164,-135.329,840,24,25.5,0.157,14.76,O1a,0.154,0.35,0.35,0.35,16,8.65
1,63.8679,-137.913,841,24.5,25,0.132,30.25,O1a,0.097,0.35,0.35,0.35,10,8.65
1,63.879,-137.93,842,24.5,25,0.132,30.25,O1a,0.097,0.35,0.35,0.35,10,8.65
0,63.6772,-140.393,843,22.4,21.9,0.306,29.13,O1a,0.023,0.35,0.35,0.35,2,8.65
0,65.4025,-135.945,844,28.5,30.5,0.052,21.59,O1a,0.029,0.35,0.35,0.35,3,18.04
1,65.4105,-135.914,845,28.5,30.5,0.052,21.59,O1a,0.029,0.35,0.35,0.35,3,18.04
1,65.3928,-135.93,846,28.5,30.5,0.052,21.59,O1a,0.029,0.35,0.35,0.35,3,18.04
1,65.4008,-135.899,847,28.5,30.5,0.052,21.59,O1a,0.029,0.35,0.35,0.35,3,18.04
1,66.4234,-136.755,848,28.5,26,0.124,15.21,O1a,0,0.35,0.35,0.35,0,18.04
0,66.3817,-136.602,849,28.8,26.5,0.098,16.31,O1a,0.017,0.35,0.35,0.35,2,18.04
1,66.0796,-135.629,850,26.5,27.1,0.056,12.97,O1a,0,0.35,0.35,0.35,0,18.04
